Month,Year,Quarter,District,Street,Control Number,Connection Type,Service Address,Previous Reading,Present Reading,Cleaned Previous Reading,Cleaned Present Reading,Cleaned Consumption,Record Status,Connection Status
APR,2022,Q2,District 2,Alicante Street,501301,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Defect
APR,2022,Q2,District 2,Alicante Street,500513,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
APR,2022,Q2,District 2,Alicante Street,501048,Residential,"Alicante St, Dist. 2",1285.0,1316.0,1285.0,1316.0,31,Corrected,Active
APR,2022,Q2,District 4,Alicante Street,500095,Residential,"Alicante St, Dist. 4",1590.0,1629.0,1590.0,1629.0,39,Corrected,Active
APR,2022,Q2,District 2,Alicante Street,501176,Residential,"Alicante St, Dist. 2",2519.0,2519.0,2519.0,2519.0,0,Corrected,Active
APR,2022,Q2,District 2,Alicante Street,500045,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
APR,2022,Q2,District 2,Alicante Street,500405,Residential,"Alicante St, Dist. 2",1645.0,1645.0,1645.0,1645.0,0,Corrected,Active
APR,2022,Q2,District 1,Alicante Street,500782,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
APR,2022,Q2,District 2,Alicante Street,500266,Residential,"Alicante St, Dist. 2",2184.0,2201.0,2184.0,2201.0,17,Corrected,Active
APR,2022,Q2,District 2,Alicante Street,501731,Residential,"Alicante St, Dist. 2",58.0,68.0,58.0,68.0,10,Corrected,Active
APR,2022,Q2,District 2,Alicante Street,500380,Residential,"Alicante St, Dist. 2",1217.0,1228.0,1217.0,1228.0,11,Corrected,Active
APR,2022,Q2,District 2,Alicante Street,501329,Residential,"Alicante St, Dist. 2",651.0,672.0,651.0,672.0,21,Corrected,Active
APR,2022,Q2,District 2,Alicante Street,500377,Residential,"Alicante St, Dist. 2",598.0,640.0,598.0,640.0,42,Corrected,Active
APR,2022,Q2,District 2,Alicante Street,501522,Residential,"Alicante St, Dist. 2",441.0,465.0,441.0,465.0,24,Corrected,Active
