Month,Year,Quarter,District,Street,Control Number,Connection Type,Service Address,Previous Reading,Present Reading,Cleaned Previous Reading,Cleaned Present Reading,Cleaned Consumption,Record Status,Connection Status
MAY,2024,Q2,District 3,Flores Street,501156,Commercial,"Flores St, Dist. 3",6513,6568,6513.0,6568.0,55,Corrected,Active
MAY,2024,Q2,District 4,Flores Street,501192,Residential,"Flores St, Dist. 4",2145,2185,2145.0,2185.0,40,Corrected,Active
MAY,2024,Q2,District 4,Flores Street,501022,Residential,"Flores St, Dist. 4",495,514,495.0,514.0,19,Corrected,Active
MAY,2024,Q2,District 4,Flores Street,502074,Residential,"Flores St, Dist. 4",149,179,149.0,179.0,30,Corrected,Active
MAY,2024,Q2,District 3,Flores Street,500520,Residential,"Flores St, Dist. 3",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 4,Flores Street,500586,Residential,"Flores St, Dist. 4",90,96,90.0,96.0,6,Corrected,Active
MAY,2024,Q2,District 4,Flores Street,501506,Residential,"Flores St, Dist. 4",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 4,Flores Street,500061,Residential,"Flores St, Dist. 4",243,291,243.0,291.0,48,Corrected,Active
MAY,2024,Q2,District 3,Flores Street,500781,Residential,"Flores St, Dist. 3",,,,,0,Corrected,Unknown
MAY,2024,Q2,District 3,Flores Street,501316,Residential,"Flores St, Dist. 3",901,932,901.0,932.0,31,Corrected,Active
MAY,2024,Q2,District 3,Flores Street,500965,Residential,"Flores St, Dist. 3", , ,,,0,Corrected,Unknown
MAY,2024,Q2,District 4,Flores Street,501477,Residential,"Flores St, Dist. 4",1325,1361,1325.0,1361.0,36,Corrected,Active
MAY,2024,Q2,District 3,Flores Street,501349,Residential,"Flores St, Dist. 3",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 4,Flores Street,501408,Residential,"Flores St, Dist. 4",1593,1614,1593.0,1614.0,21,Corrected,Active
MAY,2024,Q2,District 3,Flores Street,500065,Residential,"Flores St, Dist. 3",94,107,94.0,107.0,13,Corrected,Active
MAY,2024,Q2,District 4,Flores Street,500120,Residential,"Flores St, Dist. 4",8875,8948,8875.0,8948.0,73,Corrected,Active
MAY,2024,Q2,District 3,Flores Street,500058,Residential,"Flores St, Dist. 3",4295,4331,4295.0,4331.0,36,Corrected,Active
MAY,2024,Q2,District 3,Flores Street,501709,Residential,"Flores St, Dist. 3",855,874,855.0,874.0,19,Corrected,Active
MAY,2024,Q2,District 3,Flores Street,501781,Residential,"Flores St, Dist. 3",118,118,118.0,118.0,0,Corrected,Active
MAY,2024,Q2,District 4,Flores Street,501270,Residential,"Flores St, Dist. 4",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 3,Flores Street,501127,Residential,"Flores St, Dist. 3",5608,5673,5608.0,5673.0,65,Corrected,Active
MAY,2024,Q2,District 4,Flores Street,500108,Residential,"Flores St, Dist. 4",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 4,Flores Street,501050,Residential,"Flores St, Dist. 4",3377,3421,3377.0,3421.0,44,Corrected,Active
MAY,2024,Q2,District 3,Flores Street,500064,Residential,"Flores St, Dist. 3",4690,4716,4690.0,4716.0,26,Corrected,Active
MAY,2024,Q2,District 3,Flores Street,501888,Residential,"Flores St, Dist. 3",498,555,498.0,555.0,57,Corrected,Active
MAY,2024,Q2,District 3,Flores Street,500518,Residential,"Flores St, Dist. 3",1906,1920,1906.0,1920.0,14,Corrected,Active
MAY,2024,Q2,District 3,Flores Street,501253,Residential,"Flores St, Dist. 3",67,81,67.0,81.0,14,Corrected,Active
MAY,2024,Q2,District 4,Flores Street,500141,Commercial,"Flores St, Dist. 4",9234,9369,9234.0,9369.0,135,Corrected,Active
MAY,2024,Q2,District 4,Flores Street,501051,Residential,"Flores St, Dist. 4",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 3,Flores Street,501624,Commercial,"Flores St, Dist. 3",409,430,409.0,430.0,21,Corrected,Active
MAY,2024,Q2,District 4,Flores Street,500550,Residential,"Flores St, Dist. 4",6717,6717,6717.0,6717.0,0,Corrected,Active
MAY,2024,Q2,District 3,Flores Street,501187,Residential,"Flores St, Dist. 3",325,365,325.0,365.0,40,Corrected,Active
MAY,2024,Q2,District 4,Flores Street,500100,Residential,"Flores St, Dist. 4",3479,3479,3479.0,3479.0,0,Corrected,Active
MAY,2024,Q2,District 3,Flores Street,501133,Residential,"Flores St, Dist. 3",445,487,445.0,487.0,42,Corrected,Active
MAY,2024,Q2,District 3,Flores Street,501352,Residential,"Flores St, Dist. 3",405,504,405.0,504.0,99,Corrected,Active
MAY,2024,Q2,District 4,Flores Street,501410,Residential,"Flores St, Dist. 4",77,108,77.0,108.0,31,Corrected,Active
MAY,2024,Q2,District 3,Flores Street,500493,Residential,"Flores St, Dist. 3",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 3,Flores Street,500582,Residential,"Flores St, Dist. 3",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 3,Flores Street,500944,Residential,"Flores St, Dist. 3",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 3,Flores Street,501908,Residential,"Flores St, Dist. 3",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 3,Flores Street,501909,Residential,"Flores St, Dist. 3",1370,1517,1370.0,1517.0,147,Corrected,Active
MAY,2024,Q2,District 3,Flores Street,500062,Commercial,"Flores St, Dist. 3",13464,13464,13464.0,13464.0,0,Corrected,Active
MAY,2024,Q2,District 3,Flores Street,501094,Residential,"Flores St, Dist. 3",7316,7366,7316.0,7366.0,50,Corrected,Active
MAY,2024,Q2,District 4,Flores Street,500474,Residential,"Flores St, Dist. 4",4788,4845,4788.0,4845.0,57,Corrected,Active
MAY,2024,Q2,District 3,Flores Street,502016,Residential,"Flores St, Dist. 3",585,644,585.0,644.0,59,Corrected,Active
MAY,2024,Q2,District 3,Flores Street,500101,Residential,"Flores St, Dist. 3",4097,4114,4097.0,4114.0,17,Corrected,Active
MAY,2024,Q2,District 3,Flores Street,502004,Residential,"Flores St, Dist. 3",123,134,123.0,134.0,11,Corrected,Active
MAY,2024,Q2,District 4,Grafilo Street,500096,Residential,"Grafilo St, Dist. 4",1514,1516,1514.0,1516.0,2,Corrected,Active
MAY,2024,Q2,District 4,Grafilo Street,500695,Residential,"Grafilo St, Dist. 4",1929,,1929.0,1929.0,0,Corrected,Defect
MAY,2024,Q2,District 4,Grafilo Street,502126,Residential,"Grafilo St, Dist. 4",,6,6.0,6.0,0,Corrected,Active
MAY,2024,Q2,District 4,Grafilo Street,501659,Residential,"Grafilo St, Dist. 4",374,,374.0,374.0,0,Corrected,Defect
MAY,2024,Q2,District 4,Grafilo Street,500193,Residential,"Grafilo St, Dist. 4",2196,2227,2196.0,2227.0,31,Corrected,Active
MAY,2024,Q2,District 4,Grafilo Street,501143,Residential,"Grafilo St, Dist. 4",781,803,781.0,803.0,22,Corrected,Active
MAY,2024,Q2,District 4,Grafilo Street,500932,Residential,"Grafilo St, Dist. 4",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 4,Grafilo Street,500694,Residential,"Grafilo St, Dist. 4",1591,1591,1591.0,1591.0,0,Corrected,Active
MAY,2024,Q2,District 4,Grafilo Street,500097,Residential,"Grafilo St, Dist. 4",1240,1260,1240.0,1260.0,20,Corrected,Active
MAY,2024,Q2,District 4,Grafilo Street,501915,Residential,"Grafilo St, Dist. 4",494,514,494.0,514.0,20,Corrected,Active
MAY,2024,Q2,District 4,Grafilo Street,500402,Residential,"Grafilo St, Dist. 4",3758,3790,3758.0,3790.0,32,Corrected,Active
MAY,2024,Q2,District 4,Grafilo Street,500358,Residential,"Grafilo St, Dist. 4",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 4,Grafilo Street,500786,Residential,"Grafilo St, Dist. 4",4369,4389,4369.0,4389.0,20,Corrected,Active
MAY,2024,Q2,District 4,Grafilo Street,502124,Residential,"Grafilo St, Dist. 4",,6,6.0,6.0,0,Corrected,Active
MAY,2024,Q2,District 4,Grafilo Street,500022,Residential,"Grafilo St, Dist. 4",509,515,509.0,515.0,6,Corrected,Active
MAY,2024,Q2,District 4,Grafilo Street,501563,Residential,"Grafilo St, Dist. 4",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 4,Grafilo Street,501493,Residential,"Grafilo St, Dist. 4",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 4,Grafilo Street,501797,Residential,"Grafilo St, Dist. 4",236,256,236.0,256.0,20,Corrected,Active
MAY,2024,Q2,District 1,Gutierrez Street,500536,Residential,"Gutierrez St, Dist. 1",2043,2070,2043.0,2070.0,27,Corrected,Active
MAY,2024,Q2,District 1,Gutierrez Street,500310,Residential,"Gutierrez St, Dist. 1",,,,,0,Corrected,Disconnected
MAY,2024,Q2,,Gutierrez Street,500827,Residential,Gutierrez St.,,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 1,Gutierrez Street,500268,Residential,"Gutierrez St, Dist. 1",2209,2210,2209.0,2210.0,1,Corrected,Active
MAY,2024,Q2,,Gutierrez Street,500775,Residential,Gutierrez St.,2797,2826,2797.0,2826.0,29,Corrected,Active
MAY,2024,Q2,District 1,Gutierrez Street,501250,Residential,"Gutierrez St, Dist. 1",1095,1096,1095.0,1096.0,1,Corrected,Active
MAY,2024,Q2,,Gutierrez Street,500342,Residential,Gutierrez St.,,,,,0,Corrected,Disconnected
MAY,2024,Q2,,Gutierrez Street,500423,Residential,Gutierrez St.,1562,1572,1562.0,1572.0,10,Corrected,Active
MAY,2024,Q2,,Gutierrez Street,500516,Residential,Gutierrez St.,2822,2843,2822.0,2843.0,21,Corrected,Active
MAY,2024,Q2,District 1,Gutierrez Street,500429,Residential,"Gutierrez St, Dist. 1",6736,6747,6736.0,6747.0,11,Corrected,Active
MAY,2024,Q2,,Gutierrez Street,500435,Residential,Gutierrez St.,,,,,0,Corrected,Disconnected
